EF ID,IPCC 1996 Source/Sink Category,IPCC 2006 Source/Sink Category,Gas,Fuel 1996,Fuel 2006,C pool,Type of parameter,Description,Technologies / Practices,Parameters / Conditions,Region / Regional Conditions,Abatement / Control Technologies,Other properties,Value,Unit,Equation,IPCC Worksheet,Technical Reference,Source of data,Data provider
210201,2F6 - Other (please specify),2.F.6 - Other Applications (please specify),Sulphur Hexafluoride,,,,1996 IPCC default,Default Emission Factor for SF6 Emissions from Electrical Equipment,"Type of Application/Equipment: Electorical Equipment,       Phase (lifecycle stage): Retired",,Global,,Lifetime is assumed to be 30 years,0.95,Fraction of SF6/year,Equation 3.17 on Page 3.57 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,Not applicable,"Olivier, J.G.J. and J. Bakker  (2000), Historical emissions of HFCs, PFCs and SF6 1950-1995. Consumption and emission estimates per country 1950-1995 and global emissions on 1ox1o in EDGAR 3.0. RIVM, Bilthoven, Netherlands.",IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (Table 3.12 on Page 3.58),IPCC
213622,2E1 - By-product Emissions,2.B.9.a - By-product emissions,HFC-23,,,,Measured,,"Any HCFC-22 plant that employs liquid-phase, antimony pentachchloride-catalysed reaction technology with a reflux column mounted above the reactor.","Revision of operating procedures for the reactor and reflux column to reflect the optimum conditions aimed at reducing the production of HFC-23. Operators were notified of these changes and trained... (Continued in ""Comments from data provider"" below.)",Global,Cost effective process optimization technology to reduce HFC-23 by-product formation without side-effects (e.g. HCFC-21 carry-over to downstream processes or increased reactor corrosion).,Measurement was made at DuPont's Louisville Works optimized Freon 22 Plant. Results of optimization may vary at other HCFC-22 producing sites.,0.0137,tonnes HFC-23/tonnes HCFC-22 manufactured,Page 3.125 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (Tier 1); Page 2.42 of Reference Manual of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories,"Worksheet 2-14, Sheet 1 of 2",,Other,"DuPont Fluoroproducts, United States of America"
214068,2E1 - By-product Emissions,2.B.9.a - By-product emissions,HFC-23,,,,2006 IPCC default,Emission Factor for HFC-23 emissions from HCFC-22 Manufacture,,,Global average emissions (1978 - 1995),,,0.02,kg HFC-23/kg HCFC-22 manufactured,Equation 3.30 in Volume 3 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"2B9, Sheet 1 of 3, in Annex 1 (page A1.15) of Volume 3, 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                         Worksheet 2-14, Sheet 1 of 2, Vol.2 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories","Expert judgement by the authors of Section 3.10, Volume 3 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories","2006 IPCC Guidelines for National Greenhouse Gas Inventories (Volume 3, Chapter 3, Table 3.28)",IPCC
515859,5-SL - Settlements,3.B.5 - Settlements,CARBON DIOXIDE,,,,2006 IPCC default,Default annual carbon accumulation per ha tree crown cover,,,United States of America (global default),,,2.9,tonnes C/ha crown cover/yr,,,"Nowak, D. and Crane, D. (2002). Carbon storage and sequestration by urban trees in the United States. Environmental Pollution 116:381-389.","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Table 8.1 - Tier 2a default crown cover area-based growth rates (CRW) for urban tree crown cover by region, on page 8.9",IPCC
120580,1B1a1 - Underground Mines,1.B.1.a.i.1 - Mining,METHANE,,,,1996 & 2006 IPCC default,Tier 1 Default Emission Factor for Underground Mining,,Average mining depths: &lt; 200 m (less than 200 m),Global average,,,10,m^3/tonne of coal production,"Equation 4.1.3 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 1 in Section 1.7.2.2 (page 1.105), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories","1B1, Sheet 1 of 1 (underground and surface coal mining and handling), in Annex 1 (page A1.11) of Volume 2, 2006 IPCC Guidelines;              Worksheet 1-6, Sheet 1 of 1, Vol.2 of the Revised 1996 IPCC Guidelines","Expert judgement by the authors of Section 4.1, Volume 2 of the 2006 IPCC Guidelines;              Expert judgement by the authors of Section 2.6 in the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (GPG2000)","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2: Energy, Equation 4.1.3, Page 4.12;                   IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (GPG2000), Section 2.6.1.2 (Pages 2.74-2.75)",IPCC
120581,1B1a1 - Underground Mines,1.B.1.a.i.1 - Mining,METHANE,,,,1996 & 2006 IPCC default,Tier 1 Default Emission Factor for Underground Mining,,Average mining depths: &gt; 400 m (greater than 400 m),Global average,,,25,m^3/tonne of coal production,"Equation 4.1.3 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 1 in Section 1.7.2.2 (page 1.105), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories","1B1, Sheet 1 of 1 (underground and surface coal mining and handling), in Annex 1 (page A1.11) of Volume 2, 2006 IPCC Guidelines;              Worksheet 1-6, Sheet 1 of 1, Vol.2 of the Revised 1996 IPCC Guidelines","Expert judgement by the authors of Section 4.1, Volume 2 of the 2006 IPCC Guidelines;              Expert judgement by the authors of Section 2.6 in the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (GPG2000)","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2: Energy, Equation 4.1.3, Page 4.12;                   IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (GPG2000), Section 2.6.1.2 (Pages 2.74-2.75)",IPCC
120582,1B1a1 - Underground Mines,1.B.1.a.i.1 - Mining,METHANE,,,,1996 & 2006 IPCC default,Tier 1 Default Emission Factor for Underground Mining,,Average mining depths: 200 - 400 m,Global average,,,18,m^3/tonne of coal production,"Equation 4.1.3 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 1 in Section 1.7.2.2 (page 1.105), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories","1B1, Sheet 1 of 1 (underground and surface coal mining and handling), in Annex 1 (page A1.11) of Volume 2, 2006 IPCC Guidelines;              Worksheet 1-6, Sheet 1 of 1, Vol.2 of the Revised 1996 IPCC Guidelines","Expert judgement by the authors of Section 4.1, Volume 2 of the 2006 IPCC Guidelines;              Expert judgement by the authors of Section 2.6 in the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (GPG2000)","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2: Energy, Equation 4.1.3, Page 4.12;                   IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (GPG2000), Section 2.6.1.2 (Pages 2.74-2.75)",IPCC
120583,1B1a1 - Underground Mines,1.B.1.a.i.2 - Post-mining seam gas emissions,METHANE,,,,2006 IPCC default,Tier 1 Default Emission Factor for Post-Mining Emissions from Underground Mines,,Average mining depths: &lt; 200 m (less than 200 m),Global average,,,0.9,m^3/tonne of coal production,"Equation 4.1.4 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 4 in Section 1.7.2.2 (page 1.110), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories","1B1, Sheet 1 of 1 (underground and surface coal mining and handling), in Annex 1 (page A1.11) of Volume 2, 2006 IPCC Guidelines;              Worksheet 1-6, Sheet 1 of 1, Vol.2 of the Revised 1996 IPCC Guidelines","Expert judgement by the authors of Section 4.1, Volume 2 of the 2006 IPCC Guidelines","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2: Energy, Equation 4.1.4, Page 4.12",IPCC
120584,1B1a1 - Underground Mines,1.B.1.a.i.2 - Post-mining seam gas emissions,METHANE,,,,2006 IPCC default,Tier 1 Default Emission Factor for Post-Mining Emissions from Underground Mines,,Average mining depths: &gt; 400 m (over 400 m),Global average,,,4.0,m^3/tonne of coal production,"Equation 4.1.4 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 4 in Section 1.7.2.2 (page 1.110), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories","1B1, Sheet 1 of 1 (underground and surface coal mining and handling), in Annex 1 (page A1.11) of Volume 2, 2006 IPCC Guidelines;              Worksheet 1-6, Sheet 1 of 1, Vol.2 of the Revised 1996 IPCC Guidelines","Expert judgement by the authors of Section 4.1, Volume 2 of the 2006 IPCC Guidelines","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2: Energy, Equation 4.1.4, Page 4.12",IPCC
120585,1B1a1 - Underground Mines,1.B.1.a.i.2 - Post-mining seam gas emissions,METHANE,,,,2006 IPCC default,Tier 1 Default Emission Factor for Post-Mining Emissions from Underground Mines,,Average mining depths: 200 - 400 m,Global average,,,2.5,m^3/tonne of coal production,"Equation 4.1.4 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 4 in Section 1.7.2.2 (page 1.110), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories","1B1, Sheet 1 of 1 (underground and surface coal mining and handling), in Annex 1 (page A1.11) of Volume 2, 2006 IPCC Guidelines;              Worksheet 1-6, Sheet 1 of 1, Vol.2 of the Revised 1996 IPCC Guidelines","Expert judgement by the authors of Section 4.1, Volume 2 of the 2006 IPCC Guidelines","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2: Energy, Equation 4.1.4, Page 4.12",IPCC
120586,1B1a2 - Surface Mines,1.B.1.a.ii.1 - Mining,METHANE,,,,2006 IPCC default,Tier 1 Default Emission Factor for Surface Mining,,Average overburden depths: less than 25 m,Global average,,,0.3,m^3/tonne of coal production,"Equation 4.1.7 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 2 in Section 1.7.2.2 (page 1.108), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories","1B1, Sheet 1 of 1 (underground and surface coal mining and handling), in Annex 1 (page A1.11) of Volume 2, 2006 IPCC Guidelines;              Worksheet 1-6, Sheet 1 of 1, Vol.2 of the Revised 1996 IPCC Guidelines","Expert judgement by the authors of Section 4.1, Volume 2 of the 2006 IPCC Guidelines","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2: Energy, Equation 4.1.7, Page 4.19",IPCC
120587,1B1a2 - Surface Mines,1.B.1.a.ii.1 - Mining,METHANE,,,,2006 IPCC default,Tier 1 Default Emission Factor for Surface Mining,,Average overburden depths: over 50 m,Global average,,,2.0,m^3/tonne of coal production,"Equation 4.1.7 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 2 in Section 1.7.2.2 (page 1.108), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories","1B1, Sheet 1 of 1 (underground and surface coal mining and handling), in Annex 1 (page A1.11) of Volume 2, 2006 IPCC Guidelines;              Worksheet 1-6, Sheet 1 of 1, Vol.2 of the Revised 1996 IPCC Guidelines","Expert judgement by the authors of Section 4.1, Volume 2 of the 2006 IPCC Guidelines","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2: Energy, Equation 4.1.7, Page 4.19",IPCC
120588,1B1a2 - Surface Mines,1.B.1.a.ii.1 - Mining,METHANE,,,,2006 IPCC default,Tier 1 Default Emission Factor for Surface Mining,,Average overburden depths: 25 - 50 m,Global average,,,1.2,m^3/tonne of coal production,"Equation 4.1.7 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 2 in Section 1.7.2.2 (page 1.108), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories","1B1, Sheet 1 of 1 (underground and surface coal mining and handling), in Annex 1 (page A1.11) of Volume 2, 2006 IPCC Guidelines;              Worksheet 1-6, Sheet 1 of 1, Vol.2 of the Revised 1996 IPCC Guidelines","Expert judgement by the authors of Section 4.1, Volume 2 of the 2006 IPCC Guidelines","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2: Energy, Equation 4.1.7, Page 4.19",IPCC
120589,1B1a2 - Surface Mines,1.B.1.a.ii.2 - Post-mining seam gas emissions,METHANE,,,,2006 IPCC default,Tier 1 Default Emission Factor for Surface Mining,,Average overburden depths: less than 25 m,Global average,,,0,m^3/tonne of coal production,"Equation 4.1.7 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 2 in Section 1.7.2.2 (page 1.108), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories","1B1, Sheet 1 of 1 (underground and surface coal mining and handling), in Annex 1 (page A1.11) of Volume 2, 2006 IPCC Guidelines;              Worksheet 1-6, Sheet 1 of 1, Vol.2 of the Revised 1996 IPCC Guidelines","Expert judgement by the authors of Section 4.1, Volume 2 of the 2006 IPCC Guidelines","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2: Energy, Equation 4.1.7, Page 4.19",IPCC
120590,1B1a2 - Surface Mines,1.B.1.a.ii.2 - Post-mining seam gas emissions,METHANE,,,,2006 IPCC default,Tier 1 Default Emission Factor for Surface Mining,,Average overburden depths: over 50 m,Global average,,,0.2,m^3/tonne of coal production,"Equation 4.1.7 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 2 in Section 1.7.2.2 (page 1.108), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories","1B1, Sheet 1 of 1 (underground and surface coal mining and handling), in Annex 1 (page A1.11) of Volume 2, 2006 IPCC Guidelines;              Worksheet 1-6, Sheet 1 of 1, Vol.2 of the Revised 1996 IPCC Guidelines","Expert judgement by the authors of Section 4.1, Volume 2 of the 2006 IPCC Guidelines","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2: Energy, Equation 4.1.7, Page 4.19",IPCC
120591,1B1a2 - Surface Mines,1.B.1.a.ii.2 - Post-mining seam gas emissions,METHANE,,,,2006 IPCC default,Tier 1 Default Emission Factor for Surface Mining,,Average overburden depths: 25 - 50 m,Global average,,,0.1,m^3/tonne of coal production,"Equation 4.1.7 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 2 in Section 1.7.2.2 (page 1.108), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories","1B1, Sheet 1 of 1 (underground and surface coal mining and handling), in Annex 1 (page A1.11) of Volume 2, 2006 IPCC Guidelines;              Worksheet 1-6, Sheet 1 of 1, Vol.2 of the Revised 1996 IPCC Guidelines","Expert judgement by the authors of Section 4.1, Volume 2 of the 2006 IPCC Guidelines","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2: Energy, Equation 4.1.7, Page 4.19",IPCC
425270,4D - Agricultural Soils,3.C.4 - Direct N2O Emissions from managed soils,NITROUS OXIDE,,,,Other (e.g. compiled),Nitrification inhibitor effect in Paddy Rice,"111 datasets from 39 studies for which experiments were conducted between 1996 and 2014 covering four major land uses (grassland, cropland, paddy and upland). For each dataset, the information collated included: mean cumulative N?O emissions from control, treatment with fertilizers and treatment with the same fertilizers plus inhibitor; inhibitor effect (as a percentage reduction of the emission), emission factor for each NI treatment (EF), NI type, NI application rate, fertilizer type, total N application rate, land use, number of replicates, soil texture, air or soil temperature (mean, temperature maxima or minima), rainfall and period of measurements.","A meta-analysis was carried out using GenStat (v.16; VSN International) to estimate NI effect according to soil, fertiliser and inhibitor type and land use.",Global,Reduction of nitrous oxide emissions due to application of dicyandiamide,,34,%,,,,Peer-reviewed journal,IPCC TFI TSU
425271,4D - Agricultural Soils,3.C.4 - Direct N2O Emissions from managed soils,NITROUS OXIDE,,,,Other (e.g. compiled),Nitrification inhibitor effect in Cropland,"111 datasets from 39 studies for which experiments were conducted between 1996 and 2014 covering four major land uses (grassland, cropland, paddy and upland). For each dataset, the information collated included: mean cumulative N?O emissions from control, treatment with fertilizers and treatment with the same fertilizers plus inhibitor; inhibitor effect (as a percentage reduction of the emission), emission factor for each NI treatment (EF), NI type, NI application rate, fertilizer type, total N application rate, land use, number of replicates, soil texture, air or soil temperature (mean, temperature maxima or minima), rainfall and period of measurements.","A meta-analysis was carried out using GenStat (v.16; VSN International) to estimate NI effect according to soil, fertiliser and inhibitor type and land use.",Global,Reduction of nitrous oxide emissions due to application of dicyandiamide,,36,%,,,,Peer-reviewed journal,IPCC TFI TSU
425272,4D - Agricultural Soils,3.C.4 - Direct N2O Emissions from managed soils,NITROUS OXIDE,,,,Other (e.g. compiled),Nitrification inhibitor effect in Grassland,"111 datasets from 39 studies for which experiments were conducted between 1996 and 2014 covering four major land uses (grassland, cropland, paddy and upland). For each dataset, the information collated included: mean cumulative N?O emissions from control, treatment with fertilizers and treatment with the same fertilizers plus inhibitor; inhibitor effect (as a percentage reduction of the emission), emission factor for each NI treatment (EF), NI type, NI application rate, fertilizer type, total N application rate, land use, number of replicates, soil texture, air or soil temperature (mean, temperature maxima or minima), rainfall and period of measurements.","A meta-analysis was carried out using GenStat (v.16; VSN International) to estimate NI effect according to soil, fertiliser and inhibitor type and land use.",Global,Reduction of nitrous oxide emissions due to application of dicyandiamide,,48,%,,,,Peer-reviewed journal,IPCC TFI TSU
425273,4D - Agricultural Soils,3.C.4 - Direct N2O Emissions from managed soils,NITROUS OXIDE,,,,Other (e.g. compiled),Nitrification inhibitor effect in Upland,"111 datasets from 39 studies for which experiments were conducted between 1996 and 2014 covering four major land uses (grassland, cropland, paddy and upland). For each dataset, the information collated included: mean cumulative N?O emissions from control, treatment with fertilizers and treatment with the same fertilizers plus inhibitor; inhibitor effect (as a percentage reduction of the emission), emission factor for each NI treatment (EF), NI type, NI application rate, fertilizer type, total N application rate, land use, number of replicates, soil texture, air or soil temperature (mean, temperature maxima or minima), rainfall and period of measurements.","A meta-analysis was carried out using GenStat (v.16; VSN International) to estimate NI effect according to soil, fertiliser and inhibitor type and land use.",Global,Reduction of nitrous oxide emissions due to application of dicyandiamide,,32,%,,,,Peer-reviewed journal,IPCC TFI TSU
328157,5-FL - Forest Land,3.B.1 - Forest land,CARBON DIOXIDE,,,Above-ground biomass (AGB),2019 Refinement default,Mean annual increment (growth rate of merchantable volume) values for some plantation forest species,,Plantation purpose: Productive Tree species: Acacia auriculiformis,Continent/Region/Country: Global.,,,6-20,m3/ha/year,,,,"2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Table 4.11 - Reported mean annual increment (growth rate of merchantable volume) values for some plantation forest species",IPCC
328158,5-FL - Forest Land,3.B.1 - Forest land,CARBON DIOXIDE,,,Above-ground biomass (AGB),2019 Refinement default,Mean annual increment (growth rate of merchantable volume) values for some plantation forest species,,Plantation purpose: Productive Tree species: Acacia mearnsii,Continent/Region/Country: Global.,,,14-25,m3/ha/year,,,,"2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Table 4.11 - Reported mean annual increment (growth rate of merchantable volume) values for some plantation forest species",IPCC
328159,5-FL - Forest Land,3.B.1 - Forest land,CARBON DIOXIDE,,,Above-ground biomass (AGB),2019 Refinement default,Mean annual increment (growth rate of merchantable volume) values for some plantation forest species,,Plantation purpose: Productive Tree species: Araucaria angustifolia,Continent/Region/Country: Global.,,,8-24,m3/ha/year,,,,"2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Table 4.11 - Reported mean annual increment (growth rate of merchantable volume) values for some plantation forest species",IPCC
328160,5-FL - Forest Land,3.B.1 - Forest land,CARBON DIOXIDE,,,Above-ground biomass (AGB),2019 Refinement default,Mean annual increment (growth rate of merchantable volume) values for some plantation forest species,,Plantation purpose: Productive Tree species: Araucaria cunninghamii,Continent/Region/Country: Global.,,,10-18,m3/ha/year,,,,"2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Table 4.11 - Reported mean annual increment (growth rate of merchantable volume) values for some plantation forest species",IPCC
328161,5-FL - Forest Land,3.B.1 - Forest land,CARBON DIOXIDE,,,Above-ground biomass (AGB),2019 Refinement default,Mean annual increment (growth rate of merchantable volume) values for some plantation forest species,,Plantation purpose: Productive Tree species: Casuarina equisetifolia,Continent/Region/Country: Global.,,,6-20,m3/ha/year,,,,"2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 4, Table 4.11 - Reported mean annual increment (growth rate of merchantable volume) values for some plantation forest species",IPCC
